feature,maia_mean,leela_mean,maia_var,leela_var,maia_sem,leela_sem
backward,0.1626,0.1366,0.136174857,0.117952235,0.003690188,0.003434417
flanking,0.4721,0.5283,0.249246515,0.249224032,0.004992459,0.004992234
pawn,0.2221,0.2877,0.172788869,0.204949205,0.004156788,0.004527132
rook,0.176,0.1699,0.145038504,0.141048095,0.003808392,0.003755637
knight,0.1452,0.1401,0.124129373,0.120484038,0.0035232,0.003471081
bishop,0.1702,0.1236,0.141246085,0.108333873,0.003758272,0.003291411
queen,0.1791,0.1402,0.147037894,0.120556016,0.003834552,0.003472118
king,0.1074,0.1385,0.095874827,0.119329683,0.003096366,0.003454413
check,0.1964,0.0672,0.157842824,0.062690429,0.003972944,0.002503806
capture,0.1488,0.1171,0.126671227,0.10339793,0.00355909,0.003215555
castling,0.017,0.0109,0.016712671,0.010782268,0.001292775,0.001038377
